name	type	drawbacks_gained	boons_gained	description
Chemist	Martial		Equipment: Fast Draw<br>Alchemy sphere (formulae package)<br>Barroom sphere<br>Variable: Chemists gain one additional talent of their choice from either the Barroom sphere or Alchemy sphere.	Chemists who go adventuring often find the bottle makes as good of a weapon as what might be inside it.
Combat Gunner	Martial		Equipment: Firearm Proficiency, Gun Kata<br>Open Hand sphere<br>Variable: Combat gunners gain either Barrage sphere or Sniper sphere.	Guns aren’t the most friendly of weapons, making the efforts of combat gunners all the more impressive. Willing to duck and weave into melee combat as well as fire from a distance, these masters of close and long range combat lack any fear.
Commando	Martial		Equipment: Rogue Weapon Training<br>Leadership sphere (cohort) package<br>Scout sphere<br>Variable: Commandos gain a bonus talent from either the Equipment or Scout spheres.	Specialists that lead small groups in stealthy raids and sabotage.
Courtesan	Martial		Equipment: Dancer Training, Unarmored Training<br>Fencing sphere<br>Variable: Courtesans gain either the Dual Wielding sphere or a talent from the Fencing sphere.	Courtesans are students of courtly manners and artistic pursuits, and are often experts at painting, dancing, music, and engaging conversation. In a world of magic and court intrigue, courtesans are often also trained as bodyguards and assassins.
Cunning Leader	Martial		Equipment: One (discipline) talent of their choice<br>Fencing sphere, Expert Feint<br>Warleader sphere	The battlefield is an ever shifting place, causing chaos and anarchy to reign supreme. Only a cunning leader is able to properly navigate the terrain, commanding their troops while controlling the flow of combat in a way unique to them.
Crushing Juggernaut	Martial		Equipment: Armor Training<br>Brute sphere<br>Variable: Crushing juggernauts gain a bonus talent of their choice from both the Brute sphere and the Equipment sphere.	Crushing juggernauts specialize in using their bulk and the mass of their heavy armor to grind their opponents into dust.
Daring Scholar	Martial		Equipment: Staff Mastery<br>Alchemy sphere<br>Scout sphere<br>Variable: Daring scholars gain a talent from either the Alchemy or Scout sphere.	While many adventurers train with weapons and armor to protect them from the dangers of their chosen lifestyle, others trust in their wits and ingenuity to keep them safe. Daring scholars use a combination of explosive chemical compounds and careful observation to overcome any challenge, considering a spyglass and an alchemist’s lab to be a preferable burden to a knight’s heavy plate.
Decisive Fist	Martial		Equipment: Critical Genius<br>Boxing sphere<br>Open Hand sphere<br>Variable: Decisive fists gain either Finesse Fighting, Unarmed Training, or Unarmored Training from the Equipment sphere.	Disciples of the decisive fist prefer to end fights with one powerful punch. These inspired combatants coil up like a spring, choosing the perfect moment to disrupt their foes with a brutal blow.
Dedicated Duelist	Martial		Equipment: Duelist Training, Finesse Fighting<br>Variable: Dedicated duelists gain either the Duelist sphere or Fencing sphere<br>Variable: Dedicated duelists gain either Gauntlet Shield or Unarmored Training from the Equipment sphere.	Dedicated duelists are individuals devoted to the art of the duel. Whether they simply revel in the art of single combat, or if they believe that they can prevent larger battles by risking their life alone, these deadly men and women are focused and skilled in the tools of their chosen trade.
Dedicated Lancer [3PP]	Martial		Equipment: Pikeman Training, Spear Dancer<br>Lancer sphere<br>Variable: Individuals trained as Dedicated Lancers gain either the Guardian sphere or a Lancer talent of their choice.	Completely focused on their aims of goring opponents, dedicated lancers are masters of the spear, focusing on impaling foes and leaving them on the end of their weapon.
Drunken Brawler	Martial		Equipment: Unarmed Training<br>Barroom sphere<br>Wrestling sphere<br>Variable: Drunken brawlers gain a talent of their choice from either the Barroom or Wrestling sphere.	Only a “tradition” in the vaguest sense of the word, drunken brawlers tend to learn their arts at the hands of other drunken brawlers, usually through an alcohol induced fog while their “teacher” attempts to put them through a bar. Or a wall. Or a ceiling. Occasionally a door.
Dual Blade Beast [3PP]	Martial		Equipment: Bushido Training or Duelist Training, Dual Blade Savant<br>Dual Wielding sphere<br>Variable: Individuals trained in the Dual Blade Beast gain either the Duelist sphere or a Dual Wielding talent of their choice.	Not settling for an ordinary weapon, dual blade beasts focus on a more exotic weapon, using its modular nature in unique and interesting ways.
Elven Duelist	Martial		Equipment: Elvish Heritage, Finesse Fighting x2<br>Variable: Elven Duelists gain either the Duelist sphere or the Fencing Sphere.	Agile warriors trained in the traditional elven forms of personal combat.
Fearless Thrower	Martial		Equipment: Huntsman Training, Throwing Mastery<br>Variable: Fearless throwers either gain Crushing Thrower or Thrower’s Reflexes from the Equipment sphere.<br>Variable: Fearless throwers gain either the Barrage sphere or the Berserker sphere.	From small blades to large spears, fearless throwers are adept at launching any such items into the air. Able to push the limits of thrown weapons far beyond what others can, they fill the air with a hail of knives, hammers, and spears.
Expedition Spotter [Conq. HB]	Martial		Equipment: Rogue Weapon Training<br>Trap sphere (Dismantler drawback)<br>Variable: Expedition spotters gain either the Duelist or Fencing sphere.<br>Variable: Expedition spotters gain either the Scout sphere or Expert Eye from the Trap sphere.	Expedition spotters are often hired onto exploratory expeditions into regions famous for their tombs and long-abandoned structures. Sharp-eyed and observant, they make for decent adventurers into areas with lots of traps and fighting in tight spaces.
Field Medic [IHB2]	Martial	Alternative-Brew	Equipment: Fast Draw<br>Alchemy sphere ((formulae) package): Salve<br>Scout sphere<br>Variable: The Field Medic gains one additional talent of their choice from either the Alchemy sphere or Scout sphere.<br>Special: The Field Medic uses the Heal skill as the skill used for Alternative-Brew.	While not as often to get the glory of the kill as the soldier, the field medic is as or even more important to the health and safety of his comrades.
Free Runner	Martial		Equipment: none<br>Athletics sphere (run) package, Expanded Training (leap) and one other package, Wall Stunt<br>Variable: Free runners gain a talent of their choice from the Athletics sphere.	Free runners treat the world as their gymnasium, practicing wild acrobatics, running on and leaping from surfaces most wouldn’t consider even climbing.
Gearhead [Inv. HB]	Martial		Equipment: Techmaniac, Toolkit Training<br>Tech sphere<br>Variable: Gearheads gain either Tech Savvy from the Tech sphere, or the Trap sphere as a bonus talent.	Gearheads primarily utilize gadgets, guns, and other technological equipment in combat.
Giant	Martial		Equipment: Rock Toss<br>Brute sphere<br>Variable: Giants gain a talent of their choice from both the Brute sphere and the Equipment sphere.	Creatures who are larger than their peers often learn to fight in fashions leveraging their enormous size, shoving their enemies around the battlefield and hurling objects far too large for their enemies to handle.
Gladiator	Martial		Equipment: Gladiator Training<br>Gladiator sphere<br>Variable: Gladiators gain either Armor Training, Shield Training, or Gladiator Training a second time from the Equipment sphere.<br>Variable: Gladiators gain a talent of their choice from the Gladiator sphere.	Trained in the tradition of pure physical prowess, gladiators are known for their ability to overpower lesser combatants, imposing their will upon lesser warriors. There are many different varieties of gladiator, but all of them specialize in putting on shows worthy of an emperor.
Guild Training	Martial		Equipment: Finesse Fighting, Rogue Weapon Training<br>Alchemy sphere (poison) package<br>Variable: Individuals trained in the Guild Training tradition gain either the Fencing sphere or the Duelist sphere.	While many combatants learn their arts in courtyards, dojos, or monasteries, those who learn through criminal guilds tend to have many masters, none more cruel and informative than experience. Whether their skills are assembled through observing more experienced thieves and thugs, or beaten into them by uncaring assassins who care more for their guild’s reputation than the well-being of its members, the guild trained who survive their training are invariably deadly, fast, and cunning.
Hacker [IHB2]	Martial	Unsecured	Equipment: Techmaniac, Toolkit Training<br>Tech sphere: Remote Control<br>Bonus Feat: Remote Hacking<br>Variable: Hackers gain a talent from the Tech sphere, or the Trap sphere as a bonus talent.	The hacker fulfills a very underhanded, but vital role in controlling their enemies' technology.
Heavy Armsman	Martial		Equipment: Dwarven Heritage, Armor Training<br>Berserker sphere<br>Variable: Individuals trained in the Heavy Armsman tradition gain one Equipment or Berserker talent of their choice.	A heavy armsman specializes in using hammers, axes, and other large weapons to bring down even larger foes.
Highlander [High. HB]	Martial		Equipment: Gallowglass Training<br>Duelist sphere<br>Variable: Dual Wielding or Scout sphere, and one additional talent from the chosen sphere.	Highlanders are the inhabitants or soldiers who fight for or on behalf of the highlands, a cold, wet, and mountainous terrain. Well adapted to the climate, they make for decent adventurers, being trained in a variety of weapons, which they often dual wield.
Imperialist [High. HB]	Martial		Equipment: Firearm Proficiency, Knightly Training<br>Duelist sphere<br>Variable: Beastmastery (ride) package or Warleader sphere.	Imperialists are the soldiers who fight for or on behalf of the empire. Well trained, and equipped for the part, they make for decent adventurers, being trained in the tools of war.
Iron Breaker Style [EO2]	Martial		Open Hand sphere<br>Berserker sphere, Greater Sunder<br>Variable: Individuals trained in the Iron Breaker Style tradition gain either the Unarmored Training talent from the Equipment sphere or a talent from either the Berserker or Open Hand sphere as a bonus talent.	Eschewing weapons and armor as impediments on the path to self-perfection, students of the iron breaker style learn techniques to harden their bodies into living weapons.
Janjaweed [SB:DE]	Martial		Beastmastery sphere (ride) package<br>Equipment sphere (Firearm Proficiency)<br>Variable: Janjaweed gain either the Barrage and Sniper spheres, or two talents of their choice from the Beastmastery sphere.	A man with a horse and a gun; those who possess this martial tradition generally focus in either mounted combat or with gunmanship.
Knightly Arts	Martial		Equipment: Armor Training, Knightly Training, Shield Training<br>Variable: Individuals trained in the Knightly Arts tradition gain either the Beastmastery sphere (ride) package, the Warleader sphere, or the Shield sphere as a bonus sphere.	Training in the knightly arts includes learning how to wear and maneuver in chainmail, full plate, and other armor designed for warriors who fight in the vanguard, as well as learning how to wield weapons suitable for such combat. In addition, most knights are trained in horsemanship and the art of leadership.
Liturgist [CoP]	Martial		Equipment: Custom Training (one of the selected weapons must be a favored weapon of your deity or philosophy)<br>Leadership Sphere ((follower) package)<br>Variable: Liturgists gain either the Base Of Operations talent from the Leadership sphere, or one additional talent of their choice from the Equipment sphere.<br>Bonus Feat: Basic Magical Training (selecting either the Death, Fate, or Life sphere)	Liturgist are usually ceremonial or religious servants trained in performing rites and maintaining the morale of the citizenry through public speaking and worship.
Mechanic	Martial		Equipment: Expert Reloading<br>Trap sphere<br>Variable: Mechanics gain either Firearm Proficiency or Mechanical Training from the Equipment sphere.<br>Variable: Mechanics gain either the Barrage sphere or the Sniper sphere.	A mechanic is an engineer or craftsman adept at the working of machines and other complex systems. While not all engineers will go adventuring, those who do find their knowledge can be remarkably valuable to their allies.
Militia	Martial		Equipment: Peasant Training<br>Beastmastery sphere (handle animal) package<br>Scout sphere<br>Variable: Individuals with militia training gain an Equipment talent of their choice.	Militias often rise in communities without the benefit of a formal military, where peasants of all stripes might one day have to take up arms in defense of their homes. While few militiamen have the benefits of formal war training, many are skilled at hunting, tracking, and handling animals, which can be quite handy in times of war.
Mixed Duelist [3PP]	Martial		Equipment: Duelist Training<br>Dual Wielding sphere, Impossible Reload, Mixed Assault	A popular tradition among reapers, mixed duelists use elegant melee weapons and pistols simultaneously to threaten their foes regardless of positioning.
Monastic Path	Martial		Equipment: Monk Weapon Training, Staff Mastery<br>Open Hand sphere<br>Variable: Individuals trained in the Monastic Path tradition gain either the Athletics sphere or the Dual Wielding sphere.	Those who would seek enlightenment through contemplation hone their bodies and minds alike. Followers of the monastic path train with a wide variety of challenging weapons, learning truths in every new combat technique and finding greater mysteries as they stretch their boundaries.
Ninjutsu	Martial		Equipment: Finesse Fighting, Monk Weapon Training<br>Scoundrel sphere<br>Variable: Individuals trained in the Ninjutsu tradition gain either the Scout sphere or the Trap sphere.	Shadowy warriors learn underhanded combat styles, using everything at their disposal to level the playing field against superior forces. Those trained in ninjutsu combine grace with subterfuge, confident in the knowledge that disrupting their opponents shall defeat them even before blood is shed.
Noble	Martial		Equipment: Duelist Training, Finesse Fighting<br>Leadership sphere (follower) package<br>Variable: Nobles gain a bonus talent from either the Duelist or Leadership spheres.	Born to privilege and gifted with the time to pursue the art of personal combat.
Phalanx Soldier	Martial		Equipment: Shield Training, Spear Dancer<br>Shield sphere<br>Variable: Phalanx soldiers gain either Finesse Fighting from the Equipment sphere or a talent of their choice from the Shield sphere.	The phalanx is a group of soldiers who combine spears and shields to create an impenetrable wall of death. Even when not flanked by their brothers-in-arms, a phalanx soldier is still a deadly force on any battlefield.
Pikeman	Martial		Equipment: Pikeman Training, Polearm Mastery<br>Lancer sphere<br>Variable: Pikemen gain either the Guardian sphere or a talent of their choice from the Lancer sphere.	Pikemen are soldiers who specialize in using polearms to take down enemy cavalry and to keep enemies at a safe distance.
Pit Fighter	Martial		Equipment: Unarmed Training<br>Boxing sphere<br>Gladiator sphere<br>Variable: Pit fighters gain one talent of their choice from either the Boxing sphere or the Gladiator sphere.	Like the gladiator or professional wrestler, the pit fighter puts on shows for money. However, unlike those other prize fighters, in the pits there are few grand traditions and even fewer rules; whoever’s alive at the end of the match is the winner.
Pirate	Martial		Equipment: Pirate Training, Unarmored Training<br>Fencing sphere<br>Variable: Pirates gain either the Duelist sphere or the Athletics sphere.	Pirates learn to fight on the decks of ships, where one must be both fast and light in order to avoid being shot or drowned.
Professional Wrestler	Martial		Equipment: Unarmored Training<br>Gladiator sphere<br>Wrestling sphere<br>Variable: Professional wrestlers gain one talent of their choice from either the Wrestling sphere or the Gladiator sphere.	Professional wrestlers are equal parts showman and combatant. Whether using pain-wracking joint locks or high-flying aerial maneuvers, these skilled individuals revel in their own physical might, relishing the applause that follows a particularly daring stunt.
Pursuer [SB:UatIF]	Martial		Duelist Sphere<br>Scout Sphere<br>Variable: A pursuer gains one (discipline) talent of their choice from the Equipment sphere.<br>Variable: A pursuer gains a talent of their choice from the Duelist or Scout sphere.	Bounty hunters, trackers, and ruthless assassins alike, a pursuer is a malicious and cruel combatant, harrying their foes with bleeding cuts and carefully placed strikes.
Retiarius [3PP]	Martial		Equipment: Gladiator Training, Net Master<br>Gladiator sphere<br>Variable: Individuals trained in the Retiarius tradition gain either the Duelist sphere or the Lancer sphere.	This specialized gladiator style typically combines net in order to disable foes before dispatching them with a single stab. While it was born in the arena, the tradition proves effective on the battlefield.
Rogue Gunner [3PP]	Martial		Equipment: Firearm Proficiency, Expert Reloading<br>Scoundrel sphere<br>Variable: Individuals trained in the Rogue Gunner gain either the Athletics sphere or a Scoundrel talent of their choice.	Aware of the dangers of living on the streets, rogue gunners travel quick, fire fast, and leave anyone who would challenge them in a pool of blood.
Ruin Delver	Martial		Equipment: Toolkit Training<br>Athletics sphere (Climb) package, Rope Swing<br>Variable: Ruin delvers gain a talent of their choice from the Equipment sphere.	Ruin delving requires quick wits and even quicker reflexes. With a backpack full of gear and a half-baked plan, ruin delvers live by the seat of their pants as they explore the leavings of past civilizations looking for what knowledge and artifacts they can recover.
Sergeant	Martial		Leadership sphere (squad leader drawback), (cohort) package, Squad<br>Warleader sphere<br>Variable: Sergeants gain two talents from the Equipment sphere.	Trained in leading a group of men into battle, sergeants are adept at commanding their men to act as a unit.
Shield Master	Martial		Equipment: Shield Training<br>Shield sphere<br>Variable: Shield masters gain either the Brute sphere or a talent of their choice from the Equipment sphere.<br>Variable: Shield masters gain a talent of their choice from the Shield sphere.	Shield masters are expert defenders, relying on their shields to defend both themselves and their allies. While some shield masters couple their shields with traditional weapons, others focus so exclusively on their shields that they become as much a weapon as a tool of defense, instead relying on brute force to knock their enemies around the battlefield and keep their allies out of danger.
Staff Master	Martial		Equipment: Finesse Fighting, Spear Dancer, Staff Mastery, Unarmored Training	Whether they are magicians using magic staves as bludgeons or spearmen of exquisite skill, for some all that’s needed is speed and a stick to overcome most foes.
Steppe Rider	Martial		Equipment: Outrider Training, Shortbow Mastery<br>Beastmastery sphere (ride) package<br>Variable: Steppe riders gain either the Barrage sphere or the Sniper sphere.	Training on the harsh steppes breeds talented warriors. Whether fierce raiders or guarded nomads, steppe riders are trained in horseback archery, relying on precision and mobility in place of bulky armor or heavy melee weapons.
Stone Thrower	Martial		Equipment: Halfling Heritage, Sling Combatant<br>Barrage sphere<br>Variable: Stone throwers gain a talent of their choice from the Barrage sphere.	Masters of the humble sling learn that versatility is key to survival, and a skilled stone thrower quickly learns to use their slings in almost any situation, making them deadly at any range.
Street Fighter	Martial		Equipment: Unarmed Training<br>Brute sphere<br>Scoundrel sphere<br>Variable: Street fighters gain a talent of their choice from either the Brute sphere or the Scoundrel sphere.	Street fighters learn combat in fights with no rules; where fakeouts and a handful of sand are all that stand between winning and losing.
Tattooed Warrior	Martial		Equipment: Unarmed Training, Unarmored Training<br>Bonus Feats: Dragon’s Tattoos, Zodiac Tattoos<br>Special: Tattooed warriors gain 1 bonus skill point that must be spent on Craft (tattoos) each time they gain a level in any class.	Tattooed warriors turn their bodies into weapons through the use of magic symbols engraved onto their very flesh.
Thief	Martial		Equipment: Rogue Weapon Training<br>Scoundrel sphere<br>Fencing sphere<br>Variable: Thieves gain either an Equipment talent of their choice, or a talent from the Scoundrel or Fencing spheres.	Thieves avoid fair fights whenever possible. Their favorite tactic is to take their opponents unaware, but barring that, a dirty trick or a well-placed feint will let them end the fight quickly.
Tempest Dancer	Martial		Equipment: Double Weapon Training<br>Dual Wielding sphere<br>Variable: Tempest dancers gain either the Armor Training, Unarmored Training, or Finesse Fighting from the Equipment sphere.<br>Variable: Tempest Dancers gain a talent of their choice from the Dual Wielding sphere	Wielding double-bladed weapons that others find impossible to master, tempest dancers are known for their ability to carve through through enemy ranks, their fluid movements beguiling even the most observant opponents.
Wandering Martial Artist [Youxia HB]	Martial		Equipment: Force Redirection Technique, Unarmored Training<br>Variable: Wandering martial artists gain either one (discipline) talent of their choice or the Improved Unarmed Strike feat as a bonus feat.<br>Variable: Wandering martial artists gain either the Athletics sphere or the Gladiator sphere.	Wandering martial artists, also known as youxia, are passionate warriors living on the fringes of society. They exhibit masterful control over their bodies, using diverse combat styles to defeat their foes and leave their mark on the world.
Warden	Martial		Equipment: Armor Training, Shield Training<br>Guardian sphere<br>Shield sphere	The path of the warden is one of a stalwart protector, often employed as bodyguards or garrisoned soldiers. These warriors know that defense is the best offense, especially when you have friends to outflank your foes.
Weapon Master	Martial		Equipment: Weapon masters gain two discipline talents of their choice as bonus talents.<br>Dual Wielding sphere<br>Variable: Weapon masters gain a talent of their choice from the Dual Wielding sphere.	Most warriors learn the art of combat in pursuit of a goal, such as serving in the army or to protect themselves while traveling. For the weapon master, mastery of combat is its own reward, and many will seek out exotic weapons and obscure disciplines simply for the joy of having learned them.<br>---
Arcane Archer	Unified	Arcane archers inscribe their weapons with small magical glyphs to prepare them for use in battle. Arcane archers possess the Prepared Caster drawback, and must not only choose which sphere their spell points are assigned to, but also a weapon they are proficient with to contain those spell points; they must be wielding this chosen weapon in order to access the attached spell points. An arcane archer can prepare multiple weapons in this fashion, but each chosen weapon must have at least one spell point attached to it. In addition, an arcane archer possesses the Focus Casting drawback, treating any weapon that contains at least one of their spell points as their focus.	Martial Training:<br>Equipment: Archery Bash, Huntsman Training.<br>Variable: Arcane archers gain either the Athletics sphere ((run) package) or the Scout sphere as a bonus sphere.<br>Bonus Feat: Spell Attack<br>Magic Training: Destruction sphere, Energy Strike.<br>Boons: None	Arcane archers learn to channel powerful destruction magic into their weapons, firing off devastating shots. These arcane archers find it difficult to cast at all without a weapon in their hands, even going so far as to inscribe runes onto their weapons and ammunition to prepare devastating attacks. Arcane archers usually specialize in either battlefield maneuvering or stealth tactics, but either way dispatch their enemies quickly with powerful magic-infused arrows. Arcane Archers gain +1 spell points, +1 per 3 levels in casting classes.
Arcane Swindler [Warden]	Unified	Coy Caster, Mental Focus, Passive Telekinesis (Telekinesis)	Bonus Combat Talents:<br>Equipment Sphere: Finesse Fighting<br>Scoundrel Sphere: Cut And Run<br>Variable: The arcane swindler gains a talent of their choice from either the Athletics or Scout spheres.<br>Bonus Magic Talents:<br>Illusion Sphere<br>Telekinesis Sphere: Telekinetic Tools<br>Boon: +1 spell point per odd level in casting classes.	Arcane swindlers utilize magic in a less constructive fashion, instead using their innate guile and subtle magics to fool and steal from their victims. Usually employing a combination of physical misdirection and actual illusion magic, even those trained against these maneuvers struggle to discern the difference from arcane misdirection and pure skill.<br>Casting Ability Modifier: Charisma or Intelligence
Arcane Trapster [EO2]	Unified	Focus Casting (trap bag), Skilled Casting (Craft (trap)).	Trap sphere<br>Scout sphere<br>Variable: Arcane trapster gain a talent of their choice from either the Scout or Trap spheres.<br>Bonus Feat: Spell Trap<br>Bonus Magic Talents Destruction sphere plus one Destruction talent.<br>Boons: None	Arcane trapster prefer the subtle approach, sneaking into an advantageous position to conceal deadly traps, both magical and mundane. Arcane trapsters gain +1 spell point, +1 per 3 levels in casting classes.
Bloody Rider	Unified	Bloody Riders have the Bloody Slasher and Offensive Rider martial drawbacks, as well as the Draining Casting magic drawback.	Bonus Combat Talents:<br>Equipment: Orc Heritage<br>Beastmastery sphere (ride package), Armored Mount<br>Berserker sphere<br>Duelist sphere, Long Cuts<br>Bonus Magic Talents: Conjuration sphere<br>Variable: Bloody riders gain either Altered Size or Lingering Companion from the Conjuration sphere as a bonus talent. Medium or larger creatures must take Altered Size (Large).<br>Boons: None	The bloody rider is a fearsome warrior who uses their own life-force to summon and ride a powerful magic beast. Striking out with fearsome edged and spiked weapons that leave bloody wounds, bloody riders are far from subtle and always leave a significant impression on those who witness them in action. A bloody rider gains +1 spell point, +1 for every 6 levels gained in a casting class.
Crimson Blade	Unified	Somatic Casting, Magical Signs (swirling red mists)	Martial Training:<br>Equipment: Duelist Training<br>Duelist sphere<br>Spell Attack (champion) feat<br>Bloodmonger (champion) feat<br>Bonus Magic Talents: Blood sphere (Exsanguinating Strike)<br>Boons: Sanguine Empowerment	The order of the crimson blade fuels both their martial and magical prowess with the very power of life: blood, that of their foes or themselves. Casters of this tradition usually use the Blood Price optional ritual pricing.
Crusader	Unified	Verbal Casting, Focus Casting, Prepared Caster, Aligned Combatant (Destruction), Aligned Protection (Protection).	Bonus Combat Talents:<br>Equipment: Knightly Training, Armor Training<br>Duelist Sphere<br>Beastmastery sphere (ride) package<br>Bonus Magic Talents: Protection sphere, Healing Aegis, Guardian<br>Boons: None	A crusader is a champion of a divine cause, sacrificing everything, including their own lives, to see it done. Among the righteous, crusaders are the greatest of the great, serving as living embodiments of all that is just. Among the wicked, crusaders are the dark hand of a dark god, reveling in death and destruction for its own sake. Crusaders are part of the divine petitioner casting tradition, and gain a bonus spell point at every odd level they gain in a casting class.
Crusader (Variant: Guardian)	Unified		Bonus Combat Talents:<br>Equipment: Knightly Training, Armor Training, Shield Training<br>Shield sphere<br>Bonus Magic Talents: Protection sphere Healing Aegis, Guardian	Guardians do not charge into battle, instead preferring to stand as an unbreakable wall between their enemies and their allies.
Death Knight	Unified	Death knights are fueled by necromancy, commanding tortured souls through their voice which manifest around him as sickly green light and shrieking sounds. Death knights possess the Magical Signs and Verbal Casting drawbacks.	Martial Training:<br>Equipment: Armor Training, Knightly Training.<br>Bonus Feat: Spell Attack<br>Variable: Death knights gain either the Guardian sphere or Shield Training from the Equipment sphere.<br>Magic Training: Death sphere, Cryptic Strike.<br>Boons: The closer a death knight is to death himself, the easier his necromancy is to invoke. Death knights possess the Deathful Magic boon.	Death knights command undead forces, often leading them from the front lines. While a death knight’s allies might be undead, a death knight still knows how to make the most of them, protecting his charges until they can tear down his enemies.
Elf-shot Hunter [Fey HB]	Unified		Martial Training:<br>Equipment: Huntsman Training<br>Alchemy Sphere<br>Fey Alchemy feat<br>Variable: Barrage sphere or Sniper sphere<br>Bonus Magic Talents: Fallen Fey Sphere, Fairy Dust<br>Drawbacks: Focus Casting (bow), Fey-infused Magic, Wild Magic (or Variant Wild Magic, if using Wild Magic)<br>Boons: Overcharge (or Wild Surge, if using Wild Magic)	Bowmen that stalk the woods of faerie and the fey-haunted lands of other planes, elf-shot hunters are adept at manipulating their targets with fairy dust coated arrows, leaving them fleeing, bewildered, or entirely forgetful of the encounter. Elf-shot hunters gain +1 spell point, +1 per 6 levels in casting classes.
Necroturge	Unified	Somatic Casting, Magical Signs (shadowy spirits surrounding and delivering or directing effects), Undead Servants (Leadership)	Equipment: any two talents<br>Leadership sphere (cohort package), Master of the Dead talent<br>Master Necroturge feat<br>Bonus Magic Talents: Death sphere, Empowered Reanimate<br>Boons: Deathful Magic	Gifted in the creation and control of the undead, necroturges can be powerful allies, though are seldom trusted by the people at large.<br>Martial Training
Packmother	Unified	Verbal Casting, Prepared Caster, Animal Shaman (Mind).	Bonus Combat Talents:<br>Beastmastery sphere ((handle animal) package, Animal Companion<br>Scout sphere<br>Variable: Packmothers gain either Staff Mastery or Huntsman Training from the Equipment sphere.<br>Bonus Magic Talents: Alteration sphere, plus one Alteration talent that grants a form that best matches the packmother’s animal companion.<br>Boons: None	A packmother is a druid who learned the ways of magic through an adopted animal family. From this family, the caster learns the intricacies of nature. From the caster, the animals gain power beyond their own. Packmothers are considered part of the druidic tradition, and as such learn Druidic as a bonus language and gain +1 spell point, +1 per three levels gained in a casting class.
